Holding Time (min),Tensile Strength (MPa)
1,5.8052418790508895,0.54% Aluminium/sPP
9,20.285844509235197,0.54% Aluminium/sPP
11,48.570322755806075,0.54% Aluminium/sPP
15,37.74561137658928,0.54% Aluminium/sPP
18,-273.54929013391114,0.54% Aluminium/sPP
1,-2.9508636723114363,0.85% Aluminium/sPP
9,-3.7648698809908656,0.85% Aluminium/sPP
11,-3.8037100089257123,0.85% Aluminium/sPP
15,-3.8282311205084456,0.85% Aluminium/sPP
18,-3.835057976374931,0.85% Aluminium/sPP
1,2.9478151158596395,0.03% Aluminium/sPP
9,2.1991910513958164,0.03% Aluminium/sPP
11,2.151984533416636,0.03% Aluminium/sPP
15,2.006951873139783,0.03% Aluminium/sPP
18,1.9428931474909414,0.03% Aluminium/sPP
