Dispersing Time (min),Adhesion Strength (MPa)
2.7820933117327185,2.4229592327445184,0.58% HAF/DGEBD Epoxy Resin
10.539293071916447,5.030993563645104,0.58% HAF/DGEBD Epoxy Resin
11.059434569599372,5.045468765604412,0.58% HAF/DGEBD Epoxy Resin
11.713393911995663,3.000576100568071,0.58% HAF/DGEBD Epoxy Resin
12.097842050090435,8.851682845585632,0.58% HAF/DGEBD Epoxy Resin
18.50053030393601,4.2413626676805,0.58% HAF/DGEBD Epoxy Resin
2.7820933117327185,4.237321337205286,0.54% HAF/DGEBD Epoxy Resin
10.539293071916447,3.9632909977671464,0.54% HAF/DGEBD Epoxy Resin
11.059434569599372,3.943141969118703,0.54% HAF/DGEBD Epoxy Resin
11.713393911995663,3.9268053820435984,0.54% HAF/DGEBD Epoxy Resin
12.097842050090435,3.9501006335653184,0.54% HAF/DGEBD Epoxy Resin
18.50053030393601,3.8093472096855203,0.54% HAF/DGEBD Epoxy Resin
2.7820933117327185,5.0165142655844965,0.75% HAF/DGEBD Epoxy Resin
10.539293071916447,4.532110449617715,0.75% HAF/DGEBD Epoxy Resin
11.059434569599372,4.521578907940363,0.75% HAF/DGEBD Epoxy Resin
11.713393911995663,4.520032152672987,0.75% HAF/DGEBD Epoxy Resin
12.097842050090435,4.514009298808904,0.75% HAF/DGEBD Epoxy Resin
18.50053030393601,4.492666649584138,0.75% HAF/DGEBD Epoxy Resin
2.7820933117327185,1.0907187873728523,0.39% HAF/DGEBD Epoxy Resin
10.539293071916447,0.6779395917247407,0.39% HAF/DGEBD Epoxy Resin
11.059434569599372,0.6672779420046222,0.39% HAF/DGEBD Epoxy Resin
11.713393911995663,0.6614872158222733,0.39% HAF/DGEBD Epoxy Resin
12.097842050090435,0.6581492295992799,0.39% HAF/DGEBD Epoxy Resin
18.50053030393601,0.635539794295637,0.39% HAF/DGEBD Epoxy Resin
2.7820933117327185,6.13380265945257,0.23% HAF/DGEBD Epoxy Resin
10.539293071916447,27.864897664552444,0.23% HAF/DGEBD Epoxy Resin
11.059434569599372,52.874293780319974,0.23% HAF/DGEBD Epoxy Resin
11.713393911995663,33.48281583616267,0.23% HAF/DGEBD Epoxy Resin
12.097842050090435,-6.175496609667636,0.23% HAF/DGEBD Epoxy Resin
18.50053030393601,421.71294084783716,0.23% HAF/DGEBD Epoxy Resin
