Coefficient Of Thermal Expansion (1/K),Surface Area (m²/g)
1.9640439001706333,3.961298857965917,0.95% SWCNT
2.2629151392255697,4.145298713082896,0.95% SWCNT
8.82454028318696,3.675044332515164,0.95% SWCNT
10.568328369588237,3.665723140637251,0.95% SWCNT
10.587803598270273,3.6477508226674202,0.95% SWCNT
16.33521237825226,3.4633098938159996,0.95% SWCNT
1.9640439001706333,-0.8910727336140049,0.66% SWCNT
2.2629151392255697,-1.094950163908603,0.66% SWCNT
8.82454028318696,-1.3885060613753701,0.66% SWCNT
10.568328369588237,-1.4165496288401918,0.66% SWCNT
10.587803598270273,-1.4212626667543613,0.66% SWCNT
16.33521237825226,-1.4507727681448954,0.66% SWCNT
1.9640439001706333,8.260560666527619,0.35% SWCNT
2.2629151392255697,8.418719858110181,0.35% SWCNT
8.82454028318696,12.08677765403476,0.35% SWCNT
10.568328369588237,9.703709657186364,0.35% SWCNT
10.587803598270273,12.831082513230243,0.35% SWCNT
16.33521237825226,11.763794373240042,0.35% SWCNT
1.9640439001706333,5.510722873787324,0.34% SWCNT
2.2629151392255697,5.274854718768235,0.34% SWCNT
8.82454028318696,13.340532298489382,0.34% SWCNT
10.568328369588237,53.323785980577966,0.34% SWCNT
10.587803598270273,19.46958735016314,0.34% SWCNT
16.33521237825226,296.2737771998435,0.34% SWCNT
1.9640439001706333,6.974659841841792,0.23% SWCNT
2.2629151392255697,6.788523672042919,0.23% SWCNT
8.82454028318696,6.374574512403008,0.23% SWCNT
10.568328369588237,6.284107056493834,0.23% SWCNT
10.587803598270273,6.293553753804357,0.23% SWCNT
16.33521237825226,6.150040903291317,0.23% SWCNT
