Crystallinity (%),Impact Strength (kJ/m²)
2.400999573730793,9.344938100450024,0.34% Aluminium
2.9292227564680062,10.437042303470385,0.34% Aluminium
3.3218411302256823,9.437565984475189,0.34% Aluminium
8.017726834192606,13.97810885888784,0.34% Aluminium
12.811970672967192,127.3029332072309,0.34% Aluminium
14.116178873802653,84.4180747010664,0.34% Aluminium
16.451265477571134,297.374602202228,0.34% Aluminium
2.400999573730793,-1.7539249997314492,0.25% Aluminium
2.9292227564680062,-1.8025911792342422,0.25% Aluminium
3.3218411302256823,-1.9476208396143706,0.25% Aluminium
8.017726834192606,-2.069118553046061,0.25% Aluminium
12.811970672967192,-2.253690988003683,0.25% Aluminium
14.116178873802653,-2.2802251915646834,0.25% Aluminium
16.451265477571134,-2.3173601081384834,0.25% Aluminium
2.400999573730793,5.822025839943772,0.44% Aluminium
2.9292227564680062,5.639827234722502,0.44% Aluminium
3.3218411302256823,5.892073556358997,0.44% Aluminium
8.017726834192606,5.449547349172623,0.44% Aluminium
12.811970672967192,5.332942960892252,0.44% Aluminium
14.116178873802653,5.306766543625179,0.44% Aluminium
16.451265477571134,5.249589171749649,0.44% Aluminium
2.400999573730793,1.90018187177228,0.81% Aluminium
2.9292227564680062,1.3966272703752671,0.81% Aluminium
3.3218411302256823,1.0646473565976242,0.81% Aluminium
8.017726834192606,2.1518441652572666,0.81% Aluminium
12.811970672967192,6.8388565744727625,0.81% Aluminium
14.116178873802653,6.816397891448171,0.81% Aluminium
16.451265477571134,9.402228234870742,0.81% Aluminium
2.400999573730793,5.958064172328352,0.64% Aluminium
2.9292227564680062,5.887005447724194,0.64% Aluminium
3.3218411302256823,5.849144741384266,0.64% Aluminium
8.017726834192606,5.580067780006999,0.64% Aluminium
12.811970672967192,5.519132280707316,0.64% Aluminium
14.116178873802653,5.513771658097934,0.64% Aluminium
16.451265477571134,5.506275418960514,0.64% Aluminium
