Reaction Time (h),Oxidation Potential (V)
3,3.295131891600621,0.26% rGO/Poly(methyl methacrylate)
5,3.1169175868945587,0.26% rGO/Poly(methyl methacrylate)
13,2.888008753002265,0.26% rGO/Poly(methyl methacrylate)
3,6.754684550578559,0.54% rGO/Poly(methyl methacrylate)
5,12.286144444994603,0.54% rGO/Poly(methyl methacrylate)
13,69.14070566348215,0.54% rGO/Poly(methyl methacrylate)
3,7.971337609970693,0.57% rGO/Poly(methyl methacrylate)
5,9.360903580520333,0.57% rGO/Poly(methyl methacrylate)
13,11.652265366609935,0.57% rGO/Poly(methyl methacrylate)
3,-1.776305309853333,0.67% rGO/Poly(methyl methacrylate)
5,-2.048094470769631,0.67% rGO/Poly(methyl methacrylate)
13,-2.401026725545547,0.67% rGO/Poly(methyl methacrylate)
