Ion Beam Dose (Gy),Peel Strength (N/m)
2,9.209279841232012,0.59% Colloidal silica/PB-1
8,9.81850674383159,0.59% Colloidal silica/PB-1
10,10.202553640476395,0.59% Colloidal silica/PB-1
14,15.051610384724492,0.59% Colloidal silica/PB-1
16,11.21057840948357,0.59% Colloidal silica/PB-1
2,8.437620285104469,0.11% Colloidal silica/PB-1
8,9.976434896216386,0.11% Colloidal silica/PB-1
10,8.248479489771036,0.11% Colloidal silica/PB-1
14,12.059794828083076,0.11% Colloidal silica/PB-1
16,11.814309275320603,0.11% Colloidal silica/PB-1
2,-6.518977429160577,0.72% Colloidal silica/PB-1
8,-7.024736706970889,0.72% Colloidal silica/PB-1
10,-7.06102826463451,0.72% Colloidal silica/PB-1
14,-7.097514344341883,0.72% Colloidal silica/PB-1
16,-7.1033595597035015,0.72% Colloidal silica/PB-1
2,4.244681451919803,0.23% Colloidal silica/PB-1
8,5.052496997004466,0.23% Colloidal silica/PB-1
10,6.372606148255828,0.23% Colloidal silica/PB-1
14,9.337069173452324,0.23% Colloidal silica/PB-1
16,0.8744848625966322,0.23% Colloidal silica/PB-1
