Rotational Speed (rpm),Compressive Modulus (GPa)
7.6215837834016416,-2.3745424849455334,0.56% zirconium dioxide/NVE
9.949047207118365,-2.434070815501046,0.56% zirconium dioxide/NVE
14.685048467335912,-2.5887443263957595,0.56% zirconium dioxide/NVE
14.990099003033004,-2.6083445094828606,0.56% zirconium dioxide/NVE
15.390621616941935,-2.6130568123202385,0.56% zirconium dioxide/NVE
19.773399146822214,-2.69062758518322,0.56% zirconium dioxide/NVE
7.6215837834016416,6.515663513020914,0.21% zirconium dioxide/NVE
9.949047207118365,6.43060251847835,0.21% zirconium dioxide/NVE
14.685048467335912,6.293883139667627,0.21% zirconium dioxide/NVE
14.990099003033004,6.2741176878257345,0.21% zirconium dioxide/NVE
15.390621616941935,6.25507611178501,0.21% zirconium dioxide/NVE
19.773399146822214,6.196119421721261,0.21% zirconium dioxide/NVE
7.6215837834016416,9.017072501339586,0.64% zirconium dioxide/NVE
9.949047207118365,21.095411234121652,0.64% zirconium dioxide/NVE
14.685048467335912,156.27567819125426,0.64% zirconium dioxide/NVE
14.990099003033004,-7.422994825502823,0.64% zirconium dioxide/NVE
15.390621616941935,-83.90040359407057,0.64% zirconium dioxide/NVE
19.773399146822214,1097.494377235596,0.64% zirconium dioxide/NVE
7.6215837834016416,8.47617331759026,0.32% zirconium dioxide/NVE
9.949047207118365,6.658672420862435,0.32% zirconium dioxide/NVE
14.685048467335912,8.374971547857218,0.32% zirconium dioxide/NVE
14.990099003033004,7.103111079626004,0.32% zirconium dioxide/NVE
15.390621616941935,16.930862915196215,0.32% zirconium dioxide/NVE
19.773399146822214,5.058194275807388,0.32% zirconium dioxide/NVE
