Heat Treatment Temperature (°C),Tg (°C)
3.333771111870938,7.511197762709898,0.44% carbon nanofibers
4.573533784463679,7.385592679188505,0.44% carbon nanofibers
4.787251142361213,7.356863585886102,0.44% carbon nanofibers
10.783817053350969,7.193763606614131,0.44% carbon nanofibers
17.360084198394617,7.159588888171398,0.44% carbon nanofibers
3.333771111870938,9.188091247055787,0.96% carbon nanofibers
4.573533784463679,10.176411201224031,0.96% carbon nanofibers
4.787251142361213,8.13826624002521,0.96% carbon nanofibers
10.783817053350969,21.572953258257108,0.96% carbon nanofibers
17.360084198394617,418.78941780922173,0.96% carbon nanofibers
