Specific Surface Area (m²/g),Heat Of Fusion (J/g)
8,0.4645655780410789,1.0% Thermal black/TGDDM
10,1.510075975622668,1.0% Thermal black/TGDDM
11,2.634400432970862,1.0% Thermal black/TGDDM
16,-3.7593189241446847,1.0% Thermal black/TGDDM
17,15.011502830505702,1.0% Thermal black/TGDDM
8,2.9882188693723966,0.67% Thermal black/TGDDM
10,2.9565367673001672,0.67% Thermal black/TGDDM
11,2.9448681406190618,0.67% Thermal black/TGDDM
16,2.917627294835769,0.67% Thermal black/TGDDM
17,2.915190622016889,0.67% Thermal black/TGDDM
8,-2.4077569717926703,0.07% Thermal black/TGDDM
10,-2.4440565864934154,0.07% Thermal black/TGDDM
11,-2.455710871628966,0.07% Thermal black/TGDDM
16,-2.48764896603017,0.07% Thermal black/TGDDM
17,-2.4893241215596027,0.07% Thermal black/TGDDM
8,4.188921531914026,0.55% Thermal black/TGDDM
10,5.046707260975581,0.55% Thermal black/TGDDM
11,3.6683245702272753,0.55% Thermal black/TGDDM
16,5.821523580243312,0.55% Thermal black/TGDDM
17,3.7914987798830793,0.55% Thermal black/TGDDM
8,-7.890182548032021,0.04% Thermal black/TGDDM
10,-7.942693296860707,0.04% Thermal black/TGDDM
11,-7.956946997318519,0.04% Thermal black/TGDDM
16,-7.981357560530789,0.04% Thermal black/TGDDM
17,-7.984095013912384,0.04% Thermal black/TGDDM
