Magnetic Field Strength (T),Thermal Conductivity (W/(m·K))
5,1.6102492377294912,PCL
11,39.461154915269454,PCL
14,21.57500194813602,PCL
16,-10.95333739933299,PCL
19,202.4112069132157,PCL
5,0.39918731833565313,PPSF
11,0.11602947621463428,PPSF
14,0.008066749594487777,PPSF
16,-0.0021570358135394596,PPSF
19,-0.06288326581408485,PPSF
5,9.689540297382667,Poly(ethylene)
11,61.88777557428392,Poly(ethylene)
14,59.177082675781904,Poly(ethylene)
16,192.21192795231005,Poly(ethylene)
19,487.77643204615083,Poly(ethylene)
5,6.486710389993028,Polyimide
11,-7.161301061186382,Polyimide
14,95.43125804948434,Polyimide
16,-43.597484481041576,Polyimide
19,919.1216251048305,Polyimide
