UV Exposure Time (h),Heat Of Crystallization (J/g)
5.074740786339323,6.8064704848664555,ZrO2/PUR
14.168638904646723,5.390489268273184,ZrO2/PUR
19.868835328596315,41.1816780327289,ZrO2/PUR
5.074740786339323,-3.319403998729349,TiNTs/PUR
14.168638904646723,-1.4749037969707115,TiNTs/PUR
19.868835328596315,2.354393296631895,TiNTs/PUR
5.074740786339323,-4.950566287021045,calcium copper titanate/PUR
14.168638904646723,-5.395297598046029,calcium copper titanate/PUR
19.868835328596315,-5.4861797161206,calcium copper titanate/PUR
5.074740786339323,3.8805128012744223,Copper(II) phenyl phosphate/PUR
14.168638904646723,51.44870134043447,Copper(II) phenyl phosphate/PUR
19.868835328596315,-314.1671160913976,Copper(II) phenyl phosphate/PUR
