Nanoparticle Mass (%),Pore Volume (cm³/g)
0.4246427181780277,-4.035299082429287,polyaniline/Poly(butylene)
1.3889781478855068,-4.3073913072391115,polyaniline/Poly(butylene)
4.365452762949353,-4.362276018548262,polyaniline/Poly(butylene)
11.459664839696948,-4.7755035698349895,polyaniline/Poly(butylene)
13.194983711794814,-4.875131117658277,polyaniline/Poly(butylene)
17.505035518456392,-4.9326786214515375,polyaniline/Poly(butylene)
0,8.230352904914715,Gold/Poly(butylene)
6,7.260125665013425,Gold/Poly(butylene)
7,7.220111386146847,Gold/Poly(butylene)
9,7.162264449962423,Gold/Poly(butylene)
11,7.12918849495461,Gold/Poly(butylene)
12,7.1195961441120845,Gold/Poly(butylene)
