Mixing Time (min),Heat Of Crystallization (J/g)
5,5.08895550164855,
11,4.817800091633733,
12,4.739366159968462,
15,4.676790672497357,
18,4.6220956910358275,
2,0.24572414400746534,
4,1.5153700023428884,
10,10.800232553729911,
14,8.38761668153999,
17,55.14149215105344,
0,0.044691406943535794,
11,39.24064716355485,
15,62.101832815157174,
16,27.67544924649578,
18,-10.223646671051421,
2,7.93768606731947,
6,9.972036329472674,
8,9.048587367276749,
14,11.932636088177278,
15,4.345231476102726,
6,11.785492438449154,
7,7.116210565341432,
10,51.963196263017515,
12,66.84422102860246,
18,-380.4805527614121,
