Shear Rate (1/s),Elongation At Break (%)
0.04130202569277763,-1.8600142677581135,0.52% high abrasion furnace black
2.84894440258719,-1.2684340021544003,0.52% high abrasion furnace black
9.480333777009577,0.8009720816692862,0.52% high abrasion furnace black
10.640058089365816,-1.6238831810755125,0.52% high abrasion furnace black
10.961496970757809,2.3242933902642298,0.52% high abrasion furnace black
13.28622701878001,-0.22329778891457952,0.52% high abrasion furnace black
0.04130202569277763,-5.695563728047212,0.78% high abrasion furnace black
2.84894440258719,-4.150368976772226,0.78% high abrasion furnace black
9.480333777009577,12.443567320330276,0.78% high abrasion furnace black
10.640058089365816,3.956766948426246,0.78% high abrasion furnace black
10.961496970757809,23.212211789848503,0.78% high abrasion furnace black
13.28622701878001,32.69435532542184,0.78% high abrasion furnace black
0.04130202569277763,6.504154320284899,0.61% high abrasion furnace black
2.84894440258719,6.743932387448161,0.61% high abrasion furnace black
9.480333777009577,6.958574199058081,0.61% high abrasion furnace black
10.640058089365816,7.546153940247372,0.61% high abrasion furnace black
10.961496970757809,8.770658405100432,0.61% high abrasion furnace black
13.28622701878001,11.467448137512742,0.61% high abrasion furnace black
