Calcination Temperature (°C),Conductivity (S/m)
3.9404024511281133,2.4218899399549785,0.42% single-walled CNT/Epoxy novolac viny ester resin
4.957794481668511,3.7200078684256335,0.42% single-walled CNT/Epoxy novolac viny ester resin
5.9746686443770525,4.421873522544621,0.42% single-walled CNT/Epoxy novolac viny ester resin
10.883617459987281,4.140535154433994,0.42% single-walled CNT/Epoxy novolac viny ester resin
17.942922893731012,10.095580877475117,0.42% single-walled CNT/Epoxy novolac viny ester resin
3.9404024511281133,3.9412649538787448,0.02% single-walled CNT/Epoxy novolac viny ester resin
4.957794481668511,3.9280303282162268,0.02% single-walled CNT/Epoxy novolac viny ester resin
5.9746686443770525,3.953800068607775,0.02% single-walled CNT/Epoxy novolac viny ester resin
10.883617459987281,3.6698181710502364,0.02% single-walled CNT/Epoxy novolac viny ester resin
17.942922893731012,3.473254954257675,0.02% single-walled CNT/Epoxy novolac viny ester resin
3.9404024511281133,-3.452848135296654,0.34% single-walled CNT/Epoxy novolac viny ester resin
4.957794481668511,-3.737781135009751,0.34% single-walled CNT/Epoxy novolac viny ester resin
5.9746686443770525,-3.7202721687173996,0.34% single-walled CNT/Epoxy novolac viny ester resin
10.883617459987281,-4.261160958670981,0.34% single-walled CNT/Epoxy novolac viny ester resin
17.942922893731012,6.038094634921672,0.34% single-walled CNT/Epoxy novolac viny ester resin
3.9404024511281133,-1.166825917648588,0.48% single-walled CNT/Epoxy novolac viny ester resin
4.957794481668511,0.5227364903600549,0.48% single-walled CNT/Epoxy novolac viny ester resin
5.9746686443770525,0.8142987984717864,0.48% single-walled CNT/Epoxy novolac viny ester resin
10.883617459987281,-0.3686778257118517,0.48% single-walled CNT/Epoxy novolac viny ester resin
17.942922893731012,7.880862084918464,0.48% single-walled CNT/Epoxy novolac viny ester resin
