Particle Size (nm),Magnetoresistance
0.9607371770818496,7.544708130768076,0.71% silica gel/EPDM rubber
1.6149088466411965,7.999394955016675,0.71% silica gel/EPDM rubber
7.664751033232009,7.519925025911012,0.71% silica gel/EPDM rubber
9.016582717759851,7.516844091800378,0.71% silica gel/EPDM rubber
10.615704163699514,7.430820432367674,0.71% silica gel/EPDM rubber
16.353796514782918,7.311605704757743,0.71% silica gel/EPDM rubber
0.9607371770818496,1.3944661871475592,0.78% silica gel/EPDM rubber
1.6149088466411965,1.1263789725436335,0.78% silica gel/EPDM rubber
7.664751033232009,1.0653154006470618,0.78% silica gel/EPDM rubber
9.016582717759851,2.7881411078004397,0.78% silica gel/EPDM rubber
10.615704163699514,5.169580776954726,0.78% silica gel/EPDM rubber
16.353796514782918,1.9374759027454358,0.78% silica gel/EPDM rubber
0.9607371770818496,-4.252353638770486,0.08% silica gel/EPDM rubber
1.6149088466411965,-3.896384656243008,0.08% silica gel/EPDM rubber
7.664751033232009,-4.37437856486069,0.08% silica gel/EPDM rubber
9.016582717759851,-4.872719625390825,0.08% silica gel/EPDM rubber
10.615704163699514,-3.6800321772434286,0.08% silica gel/EPDM rubber
16.353796514782918,12.025171234851477,0.08% silica gel/EPDM rubber
