Temperature (°C),Flexural Modulus (GPa)
5,6.913888673311799,exfoliated graphene/TPU
13,6.617702169554507,exfoliated graphene/TPU
16,4.385380650827052,exfoliated graphene/TPU
5,7.121195229109713,FeO/TPU
13,6.759688724777862,FeO/TPU
16,6.664661439868545,FeO/TPU
5,8.74637191144749,magnesium oxide/TPU
13,11.734357031515326,magnesium oxide/TPU
16,9.65073771578082,magnesium oxide/TPU
5,5.240791560842402,Silver/TPU
13,-7.1063073519570406,Silver/TPU
16,151.89199580633624,Silver/TPU
5,0.01430756556838847,FeO/TPU
13,-0.18432415451523487,FeO/TPU
16,-0.19700579995470602,FeO/TPU
