Surfactant Concentration (M),Complex Modulus (Pa)
0,-3.6373206258147848,
2,-3.8441821235646305,
3,-3.132196760545217,
5,-3.796770915306201,
6,-3.6285406059842256,
7,-3.410599695404975,
16,5.796717484293252,
0,8.608895609279553,
2,8.394755001599933,
3,8.382357296926223,
5,8.115069423347867,
6,8.15062119669127,
7,8.112672509327393,
16,7.801016270677875,
0,-6.487825724716846,
2,-6.678173193589951,
3,-6.895471010125803,
5,-7.01780838889736,
6,-7.073408692368469,
7,-7.146033136559742,
16,-7.254071324394505,
