Light Intensity (W/m²),Passivation Current Density (A/m²)
1.8458990984970347,-0.49135596867922493,0.42% octyldimethylmethoxysilane
9.501091350040625,-0.9632840328819751,0.42% octyldimethylmethoxysilane
14.142292572628826,-1.0057745581798432,0.42% octyldimethylmethoxysilane
14.433527743517205,-1.0073680717616065,0.42% octyldimethylmethoxysilane
1.8458990984970347,7.7576001796714715,0.43% octyldimethylmethoxysilane
9.501091350040625,9.464736307184186,0.43% octyldimethylmethoxysilane
14.142292572628826,11.262630830747462,0.43% octyldimethylmethoxysilane
14.433527743517205,8.034095924513842,0.43% octyldimethylmethoxysilane
1.8458990984970347,-0.11703074289599558,0.37% octyldimethylmethoxysilane
9.501091350040625,-0.7461594098637044,0.37% octyldimethylmethoxysilane
14.142292572628826,-0.9113324768616257,0.37% octyldimethylmethoxysilane
14.433527743517205,-0.8960393671433619,0.37% octyldimethylmethoxysilane
1.8458990984970347,1.538560569134917,0.29% octyldimethylmethoxysilane
9.501091350040625,29.518500046274347,0.29% octyldimethylmethoxysilane
14.142292572628826,179.2901223323317,0.29% octyldimethylmethoxysilane
14.433527743517205,32.11040596307722,0.29% octyldimethylmethoxysilane
1.8458990984970347,7.62429323776744,0.22% octyldimethylmethoxysilane
9.501091350040625,17.283090740270744,0.22% octyldimethylmethoxysilane
14.142292572628826,98.85843101775917,0.22% octyldimethylmethoxysilane
14.433527743517205,51.55423092310129,0.22% octyldimethylmethoxysilane
