Exposure Time (h),Crystallinity (%)
2,-2.492252838111157,CaCu3Ti4O12/E-SBR
3,-2.5872675249206183,CaCu3Ti4O12/E-SBR
12,-3.003597996364847,CaCu3Ti4O12/E-SBR
15,-3.0200103097586926,CaCu3Ti4O12/E-SBR
17,-3.0253477500086148,CaCu3Ti4O12/E-SBR
18,-3.0269454073319673,CaCu3Ti4O12/E-SBR
1.9601245265893752,-1.4166241606925467,silica/E-SBR
3.6727786847552912,-1.6282899878266976,silica/E-SBR
8.168143890637989,0.008586508992273423,silica/E-SBR
17.815588050464044,12.904658287665013,silica/E-SBR
18.11749772258183,13.202705416370458,silica/E-SBR
18.435551336725137,-1.1237879995488287,silica/E-SBR
2.458960534973762,8.184224240345662,Barium Titanate/E-SBR
2.840849809806487,8.169572441017097,Barium Titanate/E-SBR
3.357243685073703,8.004148026011402,Barium Titanate/E-SBR
13.815117259937264,7.671757877949978,Barium Titanate/E-SBR
13.915299370372331,7.683265515815076,Barium Titanate/E-SBR
15.784048226589846,7.630396882337591,Barium Titanate/E-SBR
6.369774141985529,-1.330888551278065,BaTiO3/E-SBR
9.16914321359933,-1.5127510901404295,BaTiO3/E-SBR
14.946306301075518,-1.7209423149807934,BaTiO3/E-SBR
16.96502531922851,-1.7430517859380732,BaTiO3/E-SBR
17.478803822682064,-1.7608037517220345,BaTiO3/E-SBR
18.242863444909872,-1.7723470906405612,BaTiO3/E-SBR
