Degradation Temperature (°C),Surface Area (m²/g)
14,4.864977922462941,0.36% multi-walled CNTs/DGEBD
15,4.8583982184052354,0.36% multi-walled CNTs/DGEBD
17,4.805705827852412,0.36% multi-walled CNTs/DGEBD
19,4.775493053220415,0.36% multi-walled CNTs/DGEBD
14,7.750240104322355,0.49% multi-walled CNTs/DGEBD
15,6.921039423132021,0.49% multi-walled CNTs/DGEBD
17,5.4811473509073405,0.49% multi-walled CNTs/DGEBD
19,8.922030076967397,0.49% multi-walled CNTs/DGEBD
14,2.718035136917777,0.09% multi-walled CNTs/DGEBD
15,2.7127931893265465,0.09% multi-walled CNTs/DGEBD
17,2.7078448792061027,0.09% multi-walled CNTs/DGEBD
19,2.7052445888962438,0.09% multi-walled CNTs/DGEBD
14,-4.527682644099644,0.68% multi-walled CNTs/DGEBD
15,-4.552632265091257,0.68% multi-walled CNTs/DGEBD
17,-4.6148957589387845,0.68% multi-walled CNTs/DGEBD
19,-4.641053916168415,0.68% multi-walled CNTs/DGEBD
