Stirring Speed (rpm),Shear Modulus (GPa)
0,-5.492843683346106,0.89% SiO2/PS
7,-6.44847352558858,0.89% SiO2/PS
13,1.6164423809067134,0.89% SiO2/PS
17,10.082623776092971,0.89% SiO2/PS
0,6.636691917860987,0.76% SiO2/PS
7,6.361625107221829,0.76% SiO2/PS
13,6.154319861950895,0.76% SiO2/PS
17,6.057903920776846,0.76% SiO2/PS
0,4.7093520119337295,0.2% SiO2/PS
7,9.725703312819274,0.2% SiO2/PS
13,44.40094324332208,0.2% SiO2/PS
17,193.8275452793082,0.2% SiO2/PS
0,-0.5932415724965387,0.14% SiO2/PS
7,-1.102253083570817,0.14% SiO2/PS
13,-1.3335633058592462,0.14% SiO2/PS
17,-1.4188672620322293,0.14% SiO2/PS
