Reaction Time (h),Thermal Conductivity (W/(m·K))
1,0.6775507783651707,MgO/PEA
3,0.19588337400009703,MgO/PEA
4,0.10671873963089815,MgO/PEA
1,8.300739884844607,magnesium oxide/PEA
3,8.216174264344096,magnesium oxide/PEA
4,7.996924176028411,magnesium oxide/PEA
1,6.612296797157882,Morrocan montmorillonite/PEA
3,6.307351056753458,Morrocan montmorillonite/PEA
4,6.127329314201673,Morrocan montmorillonite/PEA
1,-0.6097238241836116,Synthetic fluorine mica/PEA
3,1.2754029636559485,Synthetic fluorine mica/PEA
4,2.1832276337101906,Synthetic fluorine mica/PEA
