Gamma Radiation Dose (Gy),Flexural Strength (MPa)
7.582319407118612,-0.578075907136703,single-walled CNT/Poly(vinyl butyral)
17.57554728037543,-0.6690891038592329,single-walled CNT/Poly(vinyl butyral)
17.629208540876483,-0.669196833024037,single-walled CNT/Poly(vinyl butyral)
18.50327861963233,-0.6704891081835601,single-walled CNT/Poly(vinyl butyral)
7.582319407118612,-5.791078792266664,cellulose nanocrystals/Poly(vinyl butyral)
17.57554728037543,-6.071030247161746,cellulose nanocrystals/Poly(vinyl butyral)
17.629208540876483,-6.0536554906020585,cellulose nanocrystals/Poly(vinyl butyral)
18.50327861963233,-6.083877327109542,cellulose nanocrystals/Poly(vinyl butyral)
7.582319407118612,19.378802737550643,PVA/Poly(vinyl butyral)
17.57554728037543,-251.76338670390533,PVA/Poly(vinyl butyral)
17.629208540876483,100.34213861978007,PVA/Poly(vinyl butyral)
18.50327861963233,240.56689047383406,PVA/Poly(vinyl butyral)
7.582319407118612,7.466586176588182,Silica/Poly(vinyl butyral)
17.57554728037543,7.1641678610901645,Silica/Poly(vinyl butyral)
17.629208540876483,7.150596357428171,Silica/Poly(vinyl butyral)
18.50327861963233,7.147874750466898,Silica/Poly(vinyl butyral)
