Storage Time (days),Melting Temperature (°C)
10,-1.2005599366130022,0.99% graphite
13,-1.3647219313374543,0.99% graphite
14,-1.3663693273901973,0.99% graphite
15,-1.3941483601721647,0.99% graphite
18,-1.4568787952689668,0.99% graphite
10,-6.0016011706009795,0.55% graphite
13,-3.147420240102737,0.55% graphite
14,1.8556660278995185,0.55% graphite
15,-13.364104573991803,0.55% graphite
18,0.9996888887735942,0.55% graphite
10,-2.8246618755716106,0.05% graphite
13,-0.10447649954026961,0.05% graphite
14,-0.2947005099067521,0.05% graphite
15,-1.7063525586636876,0.05% graphite
18,-2.0164942485028536,0.05% graphite
10,4.2926554898382765,0.95% graphite
13,4.263197362355241,0.95% graphite
14,4.256068180904075,0.95% graphite
15,4.252248008213166,0.95% graphite
18,4.2463384048626525,0.95% graphite
10,19.016834846861865,0.15% graphite
13,16.72991368083025,0.15% graphite
14,74.4786098152768,0.15% graphite
15,78.89180098845652,0.15% graphite
18,512.2547205395623,0.15% graphite
