Incubation Temperature (°C),Dynamic Viscosity (Pa·s)
2,4.996395361330235,ABS
3,4.717412280684105,ABS
8,4.473537867549034,ABS
12,4.403721573846575,ABS
13,4.398651663395031,ABS
2,5.8727772712615955,PA 8
3,6.810630653377292,PA 8
8,11.068415091457219,PA 8
12,49.54896485610817,PA 8
13,47.032396142366224,PA 8
2,-5.53281736896029,Polyphenylsulfone
3,-5.6521047266785,Polyphenylsulfone
8,-5.77862547704748,Polyphenylsulfone
12,1.5406170795129945,Polyphenylsulfone
13,-4.443183885562788,Polyphenylsulfone
