Drying Temperature (°C),Melting Temperature (°C)
3,-5.291438727098846,Silica/DGEBF Epoxy Resin
7,-1.4756843707951353,Silica/DGEBF Epoxy Resin
9,16.66281989537668,Silica/DGEBF Epoxy Resin
3,-5.113615082999348,White mineral oil/DGEBF Epoxy Resin
7,-5.311483259762424,White mineral oil/DGEBF Epoxy Resin
9,-5.373109210363421,White mineral oil/DGEBF Epoxy Resin
3,-6.570423874423003,Sodium titanate nanotubes/DGEBF Epoxy Resin
7,-6.941094939304426,Sodium titanate nanotubes/DGEBF Epoxy Resin
9,-6.97073467558691,Sodium titanate nanotubes/DGEBF Epoxy Resin
3,-3.3702806855673564,TiNTs/DGEBF Epoxy Resin
7,9.19124929111784,TiNTs/DGEBF Epoxy Resin
9,11.009314511983607,TiNTs/DGEBF Epoxy Resin
