Synthesis Temperature (°C),Coercivity (A/m)
4,-4.107037653071542,Silver/P(BA-a)
14,-4.395678395398523,Silver/P(BA-a)
15,-4.3982782727453635,Silver/P(BA-a)
18,-4.405128947679187,Silver/P(BA-a)
4,-4.137910443490496,Reduced graphene oxide/P(BA-a)
14,-3.7963809067837877,Reduced graphene oxide/P(BA-a)
15,1.7507836643883472,Reduced graphene oxide/P(BA-a)
18,6.262453062106815,Reduced graphene oxide/P(BA-a)
4,-5.2371724242683895,graphene nanoribbon/P(BA-a)
14,-5.604360018121926,graphene nanoribbon/P(BA-a)
15,-5.627398717219922,graphene nanoribbon/P(BA-a)
18,-5.685425565244529,graphene nanoribbon/P(BA-a)
