Heat Treatment Temperature (°C),Thermal Conductivity (W/(m·K))
8,8.421188919766134,0.56% Poly(vinyl alcohol)
15,124.3118639976102,0.56% Poly(vinyl alcohol)
19,222.36048294336166,0.56% Poly(vinyl alcohol)
8,-2.216998500190177,0.19% Poly(vinyl alcohol)
15,-2.2774442786522373,0.19% Poly(vinyl alcohol)
19,-2.284633903236946,0.19% Poly(vinyl alcohol)
8,-0.3227659896922335,0.85% Poly(vinyl alcohol)
15,-0.49142942558467945,0.85% Poly(vinyl alcohol)
19,-0.5806305543675943,0.85% Poly(vinyl alcohol)
8,8.323890231793209,0.01% Poly(vinyl alcohol)
15,5.147587973102666,0.01% Poly(vinyl alcohol)
19,19.354436745328428,0.01% Poly(vinyl alcohol)
