Volume Fraction,Bond Strength (MPa)
0.3752355235323579,5.922836525744668,Silver hexafluoroantimonate/Nylon 12
6.997739237224074,5.385414091618339,Silver hexafluoroantimonate/Nylon 12
14.324963614793356,5.118985056909652,Silver hexafluoroantimonate/Nylon 12
18.511735492123826,5.031152759467796,Silver hexafluoroantimonate/Nylon 12
0.3752355235323579,8.836792479443062,Zirconium dioxide/Nylon 12
6.997739237224074,10.477661239780286,Zirconium dioxide/Nylon 12
14.324963614793356,15.090335828669115,Zirconium dioxide/Nylon 12
18.511735492123826,15.715185978999422,Zirconium dioxide/Nylon 12
0.3752355235323579,-5.98153172395864,sodium montmorillonite/Nylon 12
6.997739237224074,-6.512206724420188,sodium montmorillonite/Nylon 12
14.324963614793356,-6.730776622993982,sodium montmorillonite/Nylon 12
18.511735492123826,-6.830272618759439,sodium montmorillonite/Nylon 12
0.3752355235323579,8.075008024940058,C.I. Pigment Black 6/Nylon 12
6.997739237224074,7.239164951414973,C.I. Pigment Black 6/Nylon 12
14.324963614793356,7.122518384213521,C.I. Pigment Black 6/Nylon 12
18.511735492123826,7.112748607980874,C.I. Pigment Black 6/Nylon 12
0.3752355235323579,2.6876860331433714,calcium carbonate/Nylon 12
6.997739237224074,3.115654313085708,calcium carbonate/Nylon 12
14.324963614793356,3.187696707489413,calcium carbonate/Nylon 12
18.511735492123826,6.424521405818528,calcium carbonate/Nylon 12
