X-ray Dose (Gy),Elastic Modulus (GPa)
7,-2.553695295081492,ZrO2/Polyimide
16,-0.513007232245406,ZrO2/Polyimide
18,-5.055630154667416,ZrO2/Polyimide
7,-1.520902992810025,Graphite/Polyimide
16,-1.8175701311527352,Graphite/Polyimide
18,-1.8436075747765306,Graphite/Polyimide
7,10.364350024351673,graphene nanoribbon/Polyimide
16,474.19375921489143,graphene nanoribbon/Polyimide
18,-283.3188344568892,graphene nanoribbon/Polyimide
7,-7.192148472260992,Paraffinum liquidum/Polyimide
16,-7.324710876403527,Paraffinum liquidum/Polyimide
18,-7.3280010153552935,Paraffinum liquidum/Polyimide
7,-0.5705099462671528,Methoxy(dimethyl)octylsilane/Polyimide
16,3.062112759188942,Methoxy(dimethyl)octylsilane/Polyimide
18,8.954796985195303,Methoxy(dimethyl)octylsilane/Polyimide
