vol%,Pore Volume (cm³/g)
1,0.60063668686518,barium titanate/Poly(ethyl acrylate)
4,0.17586543829963164,barium titanate/Poly(ethyl acrylate)
7,-0.08620911323298955,barium titanate/Poly(ethyl acrylate)
11,-0.1736755282014651,barium titanate/Poly(ethyl acrylate)
16,-0.20244918763511585,barium titanate/Poly(ethyl acrylate)
0,2.587701987318684,MMT/Poly(ethyl acrylate)
5,1.8112721663800961,MMT/Poly(ethyl acrylate)
7,1.6258097803906937,MMT/Poly(ethyl acrylate)
9,1.5583031272048826,MMT/Poly(ethyl acrylate)
17,1.3344311368843829,MMT/Poly(ethyl acrylate)
