Frequency (Hz),Surface Area (m²/g)
8.396781790386928,2.1804343423370156,Paraffin oil/PTrFE
11.284758569168146,2.0870077383080594,Paraffin oil/PTrFE
14.035302327308985,1.9920452667316042,Paraffin oil/PTrFE
8.396781790386928,4.646593815585783,Morrocan montmorillonite/PTrFE
11.284758569168146,6.175480583688186,Morrocan montmorillonite/PTrFE
14.035302327308985,9.666528960226046,Morrocan montmorillonite/PTrFE
8.396781790386928,7.464684600832482,Mineral oil/PTrFE
11.284758569168146,7.412320961116275,Mineral oil/PTrFE
14.035302327308985,7.396416133875329,Mineral oil/PTrFE
8.396781790386928,-3.0419866291902418,graphite/PTrFE
11.284758569168146,5.025414376317746,graphite/PTrFE
14.035302327308985,46.758811795669104,graphite/PTrFE
8.396781790386928,-0.5185904893857709,MgO/PTrFE
11.284758569168146,-0.6977316164086819,MgO/PTrFE
14.035302327308985,-0.7346124619976612,MgO/PTrFE
