Incubation Time (h),Pore Size (nm)
3,4.858093412003539,0.2% Montmorillonite/NVE
4,4.65860353764621,0.2% Montmorillonite/NVE
13,4.264778330925141,0.2% Montmorillonite/NVE
3,5.271353438284709,0.18% Montmorillonite/NVE
4,5.108083419776991,0.18% Montmorillonite/NVE
13,3.749022168425224,0.18% Montmorillonite/NVE
3,5.476501684200885,0.95% Montmorillonite/NVE
4,5.390166820329833,0.95% Montmorillonite/NVE
13,5.04345649665569,0.95% Montmorillonite/NVE
3,-4.926071639185873,0.38% Montmorillonite/NVE
4,-5.16561798102156,0.38% Montmorillonite/NVE
13,-5.384566051169224,0.38% Montmorillonite/NVE
3,5.780676271631771,0.32% Montmorillonite/NVE
4,5.602307477548141,0.32% Montmorillonite/NVE
13,5.378659852926493,0.32% Montmorillonite/NVE
