Young’s Modulus (GPa),Conductivity (S/m)
6,-1.0104648393217823,Polyetherketoneketone
7,-0.9476333979117224,Polyetherketoneketone
9,-1.0770822988324575,Polyetherketoneketone
10,-1.0586121843428355,Polyetherketoneketone
15,-1.2215112084613304,Polyetherketoneketone
17,-1.2574561579795822,Polyetherketoneketone
0,-6.415795467710955,NVE
3,-6.95256296264968,NVE
7,-7.151138034759043,NVE
12,-7.227828599677087,NVE
15,-7.244560231391981,NVE
17,-7.248695173963654,NVE
0,-0.2638189403405353,PEG
4,-0.30220715794818287,PEG
6,1.0586985308718222,PEG
8,0.939362206524728,PEG
15,2.7366356872918254,PEG
17,13.201553548860339,PEG
3,-4.132425682645672,PCL
4,-4.202833397561781,PCL
9,-4.477423876217171,PCL
10,-4.492221696572216,PCL
12,-4.517036458108598,PCL
14,-4.529224735787455,PCL
