Synthesis Temperature (°C),Tensile Strength (MPa)
6.210739408062594,5.204988354295914,0.81% Buckminsterfullerene/Polylactic acid
6.761498143926716,7.97547720251416,0.81% Buckminsterfullerene/Polylactic acid
16.127295251291372,264.38308382015845,0.81% Buckminsterfullerene/Polylactic acid
17.87126777970723,49.90074557013274,0.81% Buckminsterfullerene/Polylactic acid
6.210739408062594,-0.1811123011318081,0.39% Buckminsterfullerene/Polylactic acid
6.761498143926716,2.740952946507136,0.39% Buckminsterfullerene/Polylactic acid
16.127295251291372,135.7385561754703,0.39% Buckminsterfullerene/Polylactic acid
17.87126777970723,-138.54221849238033,0.39% Buckminsterfullerene/Polylactic acid
6.210739408062594,6.541346630455459,0.91% Buckminsterfullerene/Polylactic acid
6.761498143926716,6.510410039754129,0.91% Buckminsterfullerene/Polylactic acid
16.127295251291372,6.390803528664639,0.91% Buckminsterfullerene/Polylactic acid
17.87126777970723,6.3879281816574,0.91% Buckminsterfullerene/Polylactic acid
6.210739408062594,6.405965904467986,0.73% Buckminsterfullerene/Polylactic acid
6.761498143926716,6.390062360478311,0.73% Buckminsterfullerene/Polylactic acid
16.127295251291372,6.2465848416420275,0.73% Buckminsterfullerene/Polylactic acid
17.87126777970723,6.243482776292919,0.73% Buckminsterfullerene/Polylactic acid
6.210739408062594,8.588774530440238,0.28% Buckminsterfullerene/Polylactic acid
6.761498143926716,7.061712695959621,0.28% Buckminsterfullerene/Polylactic acid
16.127295251291372,7.786107995390605,0.28% Buckminsterfullerene/Polylactic acid
17.87126777970723,15.072243165678822,0.28% Buckminsterfullerene/Polylactic acid
