Ultrasound Time (min),Porosity (%)
1,4.8362579588811005,CuPP/PEMA
6,6.302249490388335,CuPP/PEMA
8,4.751391113723372,CuPP/PEMA
12,4.595777187847711,CuPP/PEMA
1,8.897881112615186,fumed silica/PEMA
6,9.128376991347263,fumed silica/PEMA
8,11.317064433436894,fumed silica/PEMA
12,14.61091954132878,fumed silica/PEMA
1,-1.9341567217804438,Clay/PEMA
6,-2.7695151685238297,Clay/PEMA
8,-2.844300766351738,Clay/PEMA
12,-2.8972440964075026,Clay/PEMA
1,5.9230697521472635,FeO/PEMA
6,6.075321925682486,FeO/PEMA
8,6.1247478392033745,FeO/PEMA
12,10.489792904303776,FeO/PEMA
1,1.854489302912798,Montmorillonite/PEMA
6,1.2698051083889037,Montmorillonite/PEMA
8,1.1784761337872534,Montmorillonite/PEMA
12,1.1105444961354767,Montmorillonite/PEMA
