Pore Volume (cm³/g),Electronic Conductivity (S/m)
3,0.5564541023898542,PEKK
10,0.14284538900290178,PEKK
12,0.1098499397830851,PEKK
15,0.005550235732149078,PEKK
16,-0.022959267623853197,PEKK
3,3.5657658724442935,PVA
10,3.2981993218361083,PVA
12,3.222525130318708,PVA
15,3.166436592294243,PVA
16,3.1361867639518977,PVA
3,7.5110692499106895,PBuA
10,7.044941918933289,PBuA
12,7.024988888711671,PBuA
15,7.007095764918834,PBuA
16,7.003499934222143,PBuA
3,-2.361228598658543,PPSF
10,-3.3130311420589966,PPSF
12,0.42978500010605547,PPSF
15,7.902423547006851,PPSF
16,13.212984687722209,PPSF
3,8.192320290359996,Poly(bisphenol A carbonate)
10,7.91929568909942,Poly(bisphenol A carbonate)
12,7.891636092710613,Poly(bisphenol A carbonate)
15,7.875749710557675,Poly(bisphenol A carbonate)
16,7.872445392905373,Poly(bisphenol A carbonate)
