Electric Field (V/m),Heat Of Fusion (J/g)
0,-1.1990794405313774,Poly(vinyl chloride)
1,-1.074338027034201,Poly(vinyl chloride)
2,-1.4886171065699254,Poly(vinyl chloride)
4,-1.4051343705029122,Poly(vinyl chloride)
16,-1.9791447016361774,Poly(vinyl chloride)
0,-3.0559829371046128,TGDDM
1,-2.810067175358502,TGDDM
2,-2.5577249863918894,TGDDM
4,-1.5420624599185278,TGDDM
16,-1.6068551709194203,TGDDM
0,-1.8138653038283785,XNBR
1,-2.0231227209519314,XNBR
2,-2.1164339833904693,XNBR
4,-2.458728371478949,XNBR
16,-2.690552909256342,XNBR
