Shear Rate (1/s),Intrinsic Viscosity (dl/g)
6,7.385462106557944,calcium copper titanate/Nylon 12
13,7.264393086817189,calcium copper titanate/Nylon 12
14,7.255907270805371,calcium copper titanate/Nylon 12
17,7.247573744451565,calcium copper titanate/Nylon 12
6,7.458886583256804,SWCNT/Nylon 12
13,7.195099777516214,SWCNT/Nylon 12
14,7.184545582131001,SWCNT/Nylon 12
17,7.113018774508159,SWCNT/Nylon 12
6,7.87236346548223,Organophilic clay/Nylon 12
13,7.636029003782839,Organophilic clay/Nylon 12
14,7.615899442597286,Organophilic clay/Nylon 12
17,7.5387644752030445,Organophilic clay/Nylon 12
6,2.614344265173253,OFG/Nylon 12
13,59.910364219877465,OFG/Nylon 12
14,66.46186921615282,OFG/Nylon 12
17,387.576031791636,OFG/Nylon 12
