pH,Coercivity (A/m)
1.8601780454557493,3.478457277186986,0.42% TiO2/PRX
9.979057550597316,2.724838722551533,0.42% TiO2/PRX
10.51919652198842,2.75203621685986,0.42% TiO2/PRX
17.450104579947038,2.576891923178233,0.42% TiO2/PRX
17.982518169552662,2.576890249061498,0.42% TiO2/PRX
1.8601780454557493,4.572102130892936,0.69% TiO2/PRX
9.979057550597316,4.462276521173945,0.69% TiO2/PRX
10.51919652198842,4.432773532418872,0.69% TiO2/PRX
17.450104579947038,4.280942616555135,0.69% TiO2/PRX
17.982518169552662,4.269665389710136,0.69% TiO2/PRX
1.8601780454557493,2.607667251512283,0.67% TiO2/PRX
9.979057550597316,1.997343843203228,0.67% TiO2/PRX
10.51919652198842,1.9545388696932045,0.67% TiO2/PRX
17.450104579947038,1.7820813984828865,0.67% TiO2/PRX
17.982518169552662,1.7760858819287055,0.67% TiO2/PRX
1.8601780454557493,-2.7754538667831614,0.83% TiO2/PRX
9.979057550597316,22.37017294296612,0.83% TiO2/PRX
10.51919652198842,16.366271942756864,0.83% TiO2/PRX
17.450104579947038,244.35861401380026,0.83% TiO2/PRX
17.982518169552662,-74.27779039515538,0.83% TiO2/PRX
