Incubation Time (h),Magnetoresistance
2.6292866409673077,10.83664966453848,0.92% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
4.3069711045935,11.540939937990753,0.92% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
8.438777583250534,22.82227059926675,0.92% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
10.886320351690085,50.05641245292135,0.92% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
11.040409919631413,27.163686108948056,0.92% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
2.6292866409673077,-2.2610027425372197,0.41% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
4.3069711045935,-1.2673273994124115,0.41% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
8.438777583250534,7.584743362429055,0.41% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
10.886320351690085,32.76160307225813,0.41% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
11.040409919631413,11.73739433157563,0.41% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
2.6292866409673077,-2.362186346700793,0.2% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
4.3069711045935,-1.4955183462303832,0.2% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
8.438777583250534,-1.3040952354847732,0.2% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
10.886320351690085,0.49077677318219637,0.2% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
11.040409919631413,2.2071571316286613,0.2% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
2.6292866409673077,-4.837740809495179,0.65% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
4.3069711045935,-4.886220807089937,0.65% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
8.438777583250534,-5.07871293100654,0.65% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
10.886320351690085,-5.160336430789052,0.65% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
11.040409919631413,-5.167484758713491,0.65% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
2.6292866409673077,0.7309801995896161,0.82% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
4.3069711045935,0.6023288366624896,0.82% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
8.438777583250534,0.36663502605636344,0.82% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
10.886320351690085,0.3221454225044121,0.82% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
11.040409919631413,0.3227818178798203,0.82% octyldimethylmethoxysilane/bisphenol-A phthalonitrile resin
