Rotational Speed (rpm),Thermal Diffusivity (mm²/s)
0.7955320091826246,4.160732923575288,Aluminium oxide/PAMS
1.6568404889419308,4.298996924211667,Aluminium oxide/PAMS
13.030881886536053,3.7907007162913526,Aluminium oxide/PAMS
17.007709541810677,3.690479559723153,Aluminium oxide/PAMS
0.7955320091826246,-6.161235984474131,SiC powder/PAMS
1.6568404889419308,-6.183553197324969,SiC powder/PAMS
13.030881886536053,33.97300246492452,SiC powder/PAMS
17.007709541810677,54.378721369921934,SiC powder/PAMS
0.7955320091826246,6.251695330526676,zirconium dioxide/PAMS
1.6568404889419308,6.207264533897387,zirconium dioxide/PAMS
13.030881886536053,11.156221644616274,zirconium dioxide/PAMS
17.007709541810677,7.894120555190468,zirconium dioxide/PAMS
0.7955320091826246,6.764721182457427,cellulose nanocrystal/PAMS
1.6568404889419308,6.829016756177479,cellulose nanocrystal/PAMS
13.030881886536053,6.542844647439081,cellulose nanocrystal/PAMS
17.007709541810677,11.858212246103276,cellulose nanocrystal/PAMS
