Electron Beam Dose (Gy),Porosity (%)
4.00492305739766,-2.8277210415534597,0.95% Colloidal silica/Poly(2-vinyl pyridine)
7.886749977749201,-3.085218099546175,0.95% Colloidal silica/Poly(2-vinyl pyridine)
10.14547970499294,-3.115337338130418,0.95% Colloidal silica/Poly(2-vinyl pyridine)
14.203327228385831,-3.3028065423011843,0.95% Colloidal silica/Poly(2-vinyl pyridine)
17.777679975667322,-3.379582421523259,0.95% Colloidal silica/Poly(2-vinyl pyridine)
4.00492305739766,3.3753176839797456,0.09% Colloidal silica/Poly(2-vinyl pyridine)
7.886749977749201,3.2056479899439756,0.09% Colloidal silica/Poly(2-vinyl pyridine)
10.14547970499294,3.117910809277335,0.09% Colloidal silica/Poly(2-vinyl pyridine)
14.203327228385831,3.032015755077833,0.09% Colloidal silica/Poly(2-vinyl pyridine)
17.777679975667322,2.9626541783374836,0.09% Colloidal silica/Poly(2-vinyl pyridine)
4.00492305739766,6.355407190754075,0.5% Colloidal silica/Poly(2-vinyl pyridine)
7.886749977749201,12.040547464905577,0.5% Colloidal silica/Poly(2-vinyl pyridine)
10.14547970499294,27.364016460564905,0.5% Colloidal silica/Poly(2-vinyl pyridine)
14.203327228385831,151.63989333639873,0.5% Colloidal silica/Poly(2-vinyl pyridine)
17.777679975667322,348.40794205620904,0.5% Colloidal silica/Poly(2-vinyl pyridine)
4.00492305739766,9.85682472949464,0.45% Colloidal silica/Poly(2-vinyl pyridine)
7.886749977749201,9.21111708589012,0.45% Colloidal silica/Poly(2-vinyl pyridine)
10.14547970499294,9.771601823687451,0.45% Colloidal silica/Poly(2-vinyl pyridine)
14.203327228385831,8.399168941938816,0.45% Colloidal silica/Poly(2-vinyl pyridine)
17.777679975667322,7.0636012411479365,0.45% Colloidal silica/Poly(2-vinyl pyridine)
