Reaction Temperature (°C),Decomposition Temperature (°C)
10.043798830113559,1.73562074586662,0.04% TiNTs/PVA
15.921277113089259,1.6183809587929643,0.04% TiNTs/PVA
16.743461275959334,1.6129422187667057,0.04% TiNTs/PVA
10.043798830113559,17.82918292017958,0.82% TiNTs/PVA
15.921277113089259,108.03749266690052,0.82% TiNTs/PVA
16.743461275959334,318.7437595524585,0.82% TiNTs/PVA
10.043798830113559,38.98433189614304,0.19% TiNTs/PVA
15.921277113089259,278.8926304325971,0.19% TiNTs/PVA
16.743461275959334,144.64287787339322,0.19% TiNTs/PVA
10.043798830113559,5.655633151617158,0.97% TiNTs/PVA
15.921277113089259,9.004547830411646,0.97% TiNTs/PVA
16.743461275959334,14.258301852188968,0.97% TiNTs/PVA
10.043798830113559,-6.089231066934005,0.71% TiNTs/PVA
15.921277113089259,-6.301869017297373,0.71% TiNTs/PVA
16.743461275959334,-6.310878420129895,0.71% TiNTs/PVA
