Reaction Temperature (°C),Tensile Strength (MPa)
5,6.404604609021725,Acrylonitrile butadiene styrene
8,6.6423108224934895,Acrylonitrile butadiene styrene
11,3.7092965270735174,Acrylonitrile butadiene styrene
12,4.113455981368411,Acrylonitrile butadiene styrene
19,-2.8181914176085616,Acrylonitrile butadiene styrene
5,3.4718466754944,PAMS
8,16.24527167410463,PAMS
11,29.561648204849718,PAMS
12,17.219657402563435,PAMS
19,602.653429097948,PAMS
5,-3.5337340264848667,DGEBD
8,-2.3320748814493304,DGEBD
11,-1.431151445920071,DGEBD
12,-2.540260047360279,DGEBD
19,-9.026188414315426,DGEBD
5,1.2485337065839646,PBTP
8,1.0903030077896927,PBTP
11,1.0278863026602132,PBTP
12,1.0198736815027338,PBTP
19,0.9965236534283605,PBTP
5,7.830644813617356,Polyrotaxane
8,10.94150093357053,Polyrotaxane
11,11.280416245230782,Polyrotaxane
12,8.30311493969755,Polyrotaxane
19,0.4001318945477639,Polyrotaxane
