Softening Temperature (°C),Heat Of Fusion (J/g)
2,6.451152916999244,0.12% montmorillonite K-10/TPU
9,6.712102782805825,0.12% montmorillonite K-10/TPU
12,11.542779844128006,0.12% montmorillonite K-10/TPU
14,6.946461033168726,0.12% montmorillonite K-10/TPU
15,6.692933016365707,0.12% montmorillonite K-10/TPU
2,-5.11850142522701,0.6% montmorillonite K-10/TPU
9,-4.1213358273028184,0.6% montmorillonite K-10/TPU
12,0.9016421876222607,0.6% montmorillonite K-10/TPU
14,-4.221261652962436,0.6% montmorillonite K-10/TPU
15,-3.1242245015266814,0.6% montmorillonite K-10/TPU
