Shear Rate (1/s),Loss Factor
0.4400357194967608,5.362278894772414,PCL
5.673365457968833,4.817730253908907,PCL
7.287652272832368,4.842782989240645,PCL
7.683363342029283,4.8029041701586035,PCL
11.162280934651282,4.668888415275354,PCL
12.939725946108172,4.5562374996152455,PCL
0.4400357194967608,-0.07507228206690786,PBS
5.673365457968833,-0.3250665340680714,PBS
7.287652272832368,0.571155123535281,PBS
7.683363342029283,0.514995087718428,PBS
11.162280934651282,1.0664351485023005,PBS
12.939725946108172,7.77853513916909,PBS
