Evaporation Temperature (°C),Flexural Modulus (GPa)
2.2719742453891567,-0.6343283485408113,0.41% Fe2O3/bisphenol-A phthalonitrile resin
3.1946490824105034,-0.7437687848120933,0.41% Fe2O3/bisphenol-A phthalonitrile resin
13.042952507555189,-1.1023309445882359,0.41% Fe2O3/bisphenol-A phthalonitrile resin
17.679111520170746,-1.1192724116934878,0.41% Fe2O3/bisphenol-A phthalonitrile resin
3.457705338672623,7.253953385877326,0.03% Fe2O3/bisphenol-A phthalonitrile resin
7.8848633948373115,7.382623569909677,0.03% Fe2O3/bisphenol-A phthalonitrile resin
16.669022202673936,7.136225482813389,0.03% Fe2O3/bisphenol-A phthalonitrile resin
19.129161314103523,17.869210711818234,0.03% Fe2O3/bisphenol-A phthalonitrile resin
6,-0.12410613895463773,0.85% Fe2O3/bisphenol-A phthalonitrile resin
8,-0.2001277850799947,0.85% Fe2O3/bisphenol-A phthalonitrile resin
16,-0.27983189838063377,0.85% Fe2O3/bisphenol-A phthalonitrile resin
19,-0.28428411825535993,0.85% Fe2O3/bisphenol-A phthalonitrile resin
4.058158368858036,4.247782586229295,0.96% Fe2O3/bisphenol-A phthalonitrile resin
9.554795645283928,6.245269726802418,0.96% Fe2O3/bisphenol-A phthalonitrile resin
15.230549542524903,12.99680565730458,0.96% Fe2O3/bisphenol-A phthalonitrile resin
18.98944870760136,-2.507504945041731,0.96% Fe2O3/bisphenol-A phthalonitrile resin
1,0.8844161550170904,0.07% Fe2O3/bisphenol-A phthalonitrile resin
11,0.15482019720908752,0.07% Fe2O3/bisphenol-A phthalonitrile resin
15,0.13035570678414396,0.07% Fe2O3/bisphenol-A phthalonitrile resin
16,0.127200547854758,0.07% Fe2O3/bisphenol-A phthalonitrile resin
