Electric Field (V/m),Bond Strength (MPa)
7.261211974561379,7.23984602841899,Nylon 12
13.093996758293585,7.14132801543719,Nylon 12
15.620653886599584,7.131883345905943,Nylon 12
7.261211974561379,4.564847193899173,PA 6T
13.093996758293585,6.414038532405913,PA 6T
15.620653886599584,14.628323499533499,PA 6T
7.261211974561379,0.5195862551609471,aPP
13.093996758293585,-1.7708440495436877,aPP
15.620653886599584,2.9429110345777385,aPP
7.261211974561379,-1.7947709719625298,Poly(acrylamide)
13.093996758293585,26.82769394580953,Poly(acrylamide)
15.620653886599584,230.7253773437164,Poly(acrylamide)
7.261211974561379,-5.717991603338809,Sodium polyacrylate
13.093996758293585,-5.804051706384026,Sodium polyacrylate
15.620653886599584,-5.813172889259838,Sodium polyacrylate
