Thermal Conductivity (W/(m·K)),Specific Viscosity
15.92276005084881,-5.215957722751839,octyldimethylmethoxysilane/PC
16.087903254906134,-5.220675068715165,octyldimethylmethoxysilane/PC
16.56475141674501,-5.238607870901934,octyldimethylmethoxysilane/PC
18.060484723612888,-5.260721870622324,octyldimethylmethoxysilane/PC
15.92276005084881,-0.6482274034899789,Reduced graphene oxide/PC
16.087903254906134,-0.6480868475067854,Reduced graphene oxide/PC
16.56475141674501,-0.649133303754883,Reduced graphene oxide/PC
18.060484723612888,-0.6521853661778375,Reduced graphene oxide/PC
15.92276005084881,169.49463102517805,TiO2/PC
16.087903254906134,24.77750049054314,TiO2/PC
16.56475141674501,272.80797093629616,TiO2/PC
18.060484723612888,544.5182616602651,TiO2/PC
15.92276005084881,0.37027722887120695,single-walled CNT/PC
16.087903254906134,0.3693602477985978,single-walled CNT/PC
16.56475141674501,0.36832490553214675,single-walled CNT/PC
18.060484723612888,0.36573748752603796,single-walled CNT/PC
15.92276005084881,43.21077595291223,Graphite/PC
16.087903254906134,52.288296853092675,Graphite/PC
16.56475141674501,104.95318165455915,Graphite/PC
18.060484723612888,22.121142931084847,Graphite/PC
