Nanoparticle Mass (%),Fracture Toughness (MPa·m^0.5)
1,7.982901793904543,PBI
2,8.355413221309343,PBI
9,21.012586335315355,PBI
16,230.1515176240577,PBI
1,6.472627430648038,Unsaturated polyester resin
2,7.666121767286487,Unsaturated polyester resin
9,34.37252707793298,Unsaturated polyester resin
16,256.58354982648086,Unsaturated polyester resin
1,-0.6247465837132449,PEA
2,-0.968350567608345,PEA
9,-1.2828742752420454,PEA
16,-1.4785632832918103,PEA
1,-3.247826218325029,poly-HEMA
2,-3.27850993840795,poly-HEMA
9,-3.8377092177332712,poly-HEMA
16,-3.9004344412075573,poly-HEMA
