Curing Temperature (°C),Dynamic Viscosity (Pa·s)
9.242423938216893,5.488165153100595,Poly(bisphenol A carbonate)
9.966109032781173,5.444239192091388,Poly(bisphenol A carbonate)
12.88316411463946,5.357897305124482,Poly(bisphenol A carbonate)
16.089560747999798,5.291558790621467,Poly(bisphenol A carbonate)
9.242423938216893,8.959745134262164,PBT
9.966109032781173,8.885724008697736,PBT
12.88316411463946,9.099637876005758,PBT
16.089560747999798,16.07934239674717,PBT
9.242423938216893,41.98724191135214,P(BA-a)
9.966109032781173,-4.83056415897885,P(BA-a)
12.88316411463946,10.371955190956696,P(BA-a)
16.089560747999798,24.128473145104238,P(BA-a)
9.242423938216893,-4.913589553747011,DGEBF Epoxy Resin
9.966109032781173,-7.370976908957436,DGEBF Epoxy Resin
12.88316411463946,-3.8269335798277098,DGEBF Epoxy Resin
16.089560747999798,-3.460541220135098,DGEBF Epoxy Resin
9.242423938216893,2.7719804579152956,Poly(4-vinyl pyridine)
9.966109032781173,0.30839132637494626,Poly(4-vinyl pyridine)
12.88316411463946,6.854512456372831,Poly(4-vinyl pyridine)
16.089560747999798,4.9938217010000185,Poly(4-vinyl pyridine)
