Stirring Speed (rpm),Galvanic Potential (V)
0,-4.086159891901749,0.23% Single-wall carbon nanotubes/XNBR
3,-4.46434300070011,0.23% Single-wall carbon nanotubes/XNBR
14,-4.953383159578399,0.23% Single-wall carbon nanotubes/XNBR
0,3.4456316098844764,0.42% Single-wall carbon nanotubes/XNBR
3,2.900565427582078,0.42% Single-wall carbon nanotubes/XNBR
14,2.472820309958308,0.42% Single-wall carbon nanotubes/XNBR
0,1.1204759016082533,0.9% Single-wall carbon nanotubes/XNBR
3,2.299812793872381,0.9% Single-wall carbon nanotubes/XNBR
14,-87.21237452045177,0.9% Single-wall carbon nanotubes/XNBR
0,4.3986420517870854,0.52% Single-wall carbon nanotubes/XNBR
3,4.625295561015608,0.52% Single-wall carbon nanotubes/XNBR
14,6.962057786058532,0.52% Single-wall carbon nanotubes/XNBR
0,6.575260052953232,0.16% Single-wall carbon nanotubes/XNBR
3,6.214654639134086,0.16% Single-wall carbon nanotubes/XNBR
14,5.86840159149959,0.16% Single-wall carbon nanotubes/XNBR
