Melting Temperature (°C),Zeta Potential (mV)
1.6703425954536977,-1.1936414061814489,iPP
5.639750580247009,-1.5179911106804367,iPP
9.78291608182136,-1.668683190645136,iPP
13.022759581041843,-1.6962123012880643,iPP
15.618048770675276,-1.7068050658098792,iPP
1,4.416712721460781,PPSU
5,8.080391717221008,PPSU
11,28.77671715053846,PPSU
13,-20.240539195750557,PPSU
15,21.604363442826795,PPSU
1.8396479444088487,-4.461929727456805,DGEBD
8.583096755492061,-6.15282723423237,DGEBD
8.912820735528324,-1.8965460072036837,DGEBD
12.520384820968943,-8.297011885570324,DGEBD
18.134251646438464,6.501582492246046,DGEBD
2,-4.4059134440666705,Poly(ethyl methacrylate)
3,-4.499765413801061,Poly(ethyl methacrylate)
11,-0.5069690037002523,Poly(ethyl methacrylate)
12,1.8727242414215137,Poly(ethyl methacrylate)
16,2.581938461282136,Poly(ethyl methacrylate)
