Storage Time (days),Melting Temperature (°C)
0.7061063313782978,-1.671384362935104,0.19% MWNTs
1.55012484696742,-1.5351550783279455,0.19% MWNTs
6.260653168326719,-2.0825223551469256,0.19% MWNTs
7.915961271212602,-2.060578003280038,0.19% MWNTs
9.359781387565938,-2.0647644166380448,0.19% MWNTs
14.968966969489896,-2.2722942601748146,0.19% MWNTs
0.7061063313782978,-2.311933117450035,0.68% MWNTs
1.55012484696742,-2.3937247229252545,0.68% MWNTs
6.260653168326719,-2.619391975212565,0.68% MWNTs
7.915961271212602,-2.774292289171693,0.68% MWNTs
9.359781387565938,-2.844223165006152,0.68% MWNTs
14.968966969489896,-3.0415748185894222,0.68% MWNTs
