Polymer Molecular Weight (g/mol),Tensile Strength (MPa)
1.0066386392239024,8.587223584374753,polyaniline/PB-1
4.189258860456279,8.283345706896498,polyaniline/PB-1
11.568340738140591,7.744198242408438,polyaniline/PB-1
17.77557598295227,7.626307527711949,polyaniline/PB-1
4.749590083361546,8.080192862841134,expandable graphite/PB-1
5.091056947074966,8.024958949567413,expandable graphite/PB-1
14.019219497700098,41.679193986986625,expandable graphite/PB-1
17.904502434266714,631.8727232082789,expandable graphite/PB-1
2,-1.4340668973937067,expanded graphite/PB-1
7,-1.8543419913412378,expanded graphite/PB-1
9,-1.8981304518088686,expanded graphite/PB-1
19,-1.9603643343657888,expanded graphite/PB-1
2.945036571172539,7.040481515999369,silica gel/PB-1
5.633023521878413,6.918841052717272,silica gel/PB-1
11.450681976068747,6.581586011085953,silica gel/PB-1
17.590450169630046,6.447913814593567,silica gel/PB-1
0,-3.988545496824658,graphene/PB-1
5,-3.3788290520892703,graphene/PB-1
6,-2.6966025271383645,graphene/PB-1
16,-3.476641970958534,graphene/PB-1
