Nanoparticle Volume (%),Bond Strength (MPa)
1,-1.8553657022059538,Silicon dioxide/Poly(caprolactone)
2,-1.780905203640085,Silicon dioxide/Poly(caprolactone)
4,-1.9019751763489843,Silicon dioxide/Poly(caprolactone)
10,-1.936576926384931,Silicon dioxide/Poly(caprolactone)
16,11.925518779940944,Silicon dioxide/Poly(caprolactone)
1,0.1330132885618034,MWNT/Poly(caprolactone)
2,0.31850887534150385,MWNT/Poly(caprolactone)
4,0.10885229931130458,MWNT/Poly(caprolactone)
10,-0.1830186629584939,MWNT/Poly(caprolactone)
16,-0.3723682463309297,MWNT/Poly(caprolactone)
1,-4.053144576405556,Zinc oxide/Poly(caprolactone)
2,-4.166780474134792,Zinc oxide/Poly(caprolactone)
4,-4.357277149106848,Zinc oxide/Poly(caprolactone)
10,-4.571808676116634,Zinc oxide/Poly(caprolactone)
16,-4.726809070976726,Zinc oxide/Poly(caprolactone)
1,-6.682305216377889,Multi-wall carbon nanotubes/Poly(caprolactone)
2,-6.85097915488528,Multi-wall carbon nanotubes/Poly(caprolactone)
4,-7.124105406267251,Multi-wall carbon nanotubes/Poly(caprolactone)
10,-7.336205537971027,Multi-wall carbon nanotubes/Poly(caprolactone)
16,-7.381793260097832,Multi-wall carbon nanotubes/Poly(caprolactone)
1,3.5908741638292345,graphene platelet/Poly(caprolactone)
2,3.3818907917530234,graphene platelet/Poly(caprolactone)
4,5.232966635846101,graphene platelet/Poly(caprolactone)
10,24.752818486768675,graphene platelet/Poly(caprolactone)
16,-9.965537245961615,graphene platelet/Poly(caprolactone)
