Hardness (HV),Fatigue Strength (MPa)
3,2.8810491039282082,0.61% clay/Nylon 6-6
13,108.35139068813737,0.61% clay/Nylon 6-6
17,129.52103562571708,0.61% clay/Nylon 6-6
3,4.0058876513331665,0.62% clay/Nylon 6-6
13,48.72312357814639,0.62% clay/Nylon 6-6
17,174.4999760927515,0.62% clay/Nylon 6-6
3,-3.2099203354202963,0.63% clay/Nylon 6-6
13,-3.7841057163505365,0.63% clay/Nylon 6-6
17,-3.8685084799584954,0.63% clay/Nylon 6-6
3,-7.429115143199434,0.68% clay/Nylon 6-6
13,-7.7764782531977845,0.68% clay/Nylon 6-6
17,-7.791456695910369,0.68% clay/Nylon 6-6
3,-3.1070020616360305,0.84% clay/Nylon 6-6
13,-3.6312673417710655,0.84% clay/Nylon 6-6
17,-3.7525785594404972,0.84% clay/Nylon 6-6
