Volume Fraction (%),Polarization Resistance (Ω·m²)
4.345272723169559,-6.511753879190211,Silver/DGEBF
9.189133515117195,-6.680721925748095,Silver/DGEBF
11.483365391183703,-6.712742489175638,Silver/DGEBF
16.718991875492545,-6.737018998792715,Silver/DGEBF
18.796453429891407,-6.7398804703558515,Silver/DGEBF
4.345272723169559,8.25870820177533,Ba0.7Sr0.3TiO3/DGEBF
9.189133515117195,8.049440844013525,Ba0.7Sr0.3TiO3/DGEBF
11.483365391183703,8.02316282795978,Ba0.7Sr0.3TiO3/DGEBF
16.718991875492545,7.998962039596441,Ba0.7Sr0.3TiO3/DGEBF
18.796453429891407,7.996117059714254,Ba0.7Sr0.3TiO3/DGEBF
