Particle Diameter (nm),Thermal Resistance (K/W)
3,6.8914805405447535,Polyamide-imide
12,6.3576289902590615,Polyamide-imide
17,6.252695121360023,Polyamide-imide
12,1.1034080783489513,Poly(4-vinyl pyridine)
13,1.8679812774013556,Poly(4-vinyl pyridine)
17,-6.523152410664075,Poly(4-vinyl pyridine)
1,0.49479312010530885,PS
4,0.08066981473233814,PS
19,-0.4289785407885842,PS
11.888288345062675,-1.1921810664078552,PB-1
15.140888373485094,-1.284870173801198,PB-1
16.0894206722588,-1.3032709119332389,PB-1
