Curing Time (min),Magnetic Permeability (H/m)
3.9196338045244983,4.983127213960216,0.82% titania
9.788340739532162,5.846996608285311,0.82% titania
17.786875090600436,8.854511186268395,0.82% titania
19.111524038510016,6.8186657951084,0.82% titania
3.9196338045244983,-2.231712091205943,0.13% titania
9.788340739532162,10.228282451058076,0.13% titania
17.786875090600436,87.21050242738319,0.13% titania
19.111524038510016,596.4712692463252,0.13% titania
3.9196338045244983,-0.5691677984064527,0.34% titania
9.788340739532162,-0.7694584270591073,0.34% titania
17.786875090600436,-0.8173929725358536,0.34% titania
19.111524038510016,-0.8188978125371257,0.34% titania
3.9196338045244983,-0.12558307355532095,0.74% titania
9.788340739532162,-0.39870650460030665,0.74% titania
17.786875090600436,18.32154999266793,0.74% titania
19.111524038510016,18.104706614588682,0.74% titania
3.9196338045244983,-1.1560608590517698,0.0% titania
9.788340739532162,-1.363805784516265,0.0% titania
17.786875090600436,-1.4091523083224569,0.0% titania
19.111524038510016,-1.4111187684694635,0.0% titania
