Volume Fraction,Shear Strength (MPa)
2.403954517505391,-3.233937951988254,Colloidal silica/Poly(alpha-methylstyrene)
9.66315408587336,0.14040086784134154,Colloidal silica/Poly(alpha-methylstyrene)
14.331532865866166,75.17289923921666,Colloidal silica/Poly(alpha-methylstyrene)
18.085917728255563,497.63773743678195,Colloidal silica/Poly(alpha-methylstyrene)
2.403954517505391,1.086114314133583,graphene nanoribbon/Poly(alpha-methylstyrene)
9.66315408587336,0.9203931725005763,graphene nanoribbon/Poly(alpha-methylstyrene)
14.331532865866166,9.343928809769217,graphene nanoribbon/Poly(alpha-methylstyrene)
18.085917728255563,6.906413823082339,graphene nanoribbon/Poly(alpha-methylstyrene)
2.403954517505391,-1.1642500608497184,MoS2/Poly(alpha-methylstyrene)
9.66315408587336,-1.5605203325324206,MoS2/Poly(alpha-methylstyrene)
14.331532865866166,-1.6088946163385813,MoS2/Poly(alpha-methylstyrene)
18.085917728255563,-1.6178679551390753,MoS2/Poly(alpha-methylstyrene)
2.403954517505391,8.837887644394094,Graphite oxide/Poly(alpha-methylstyrene)
9.66315408587336,11.840283075002487,Graphite oxide/Poly(alpha-methylstyrene)
14.331532865866166,5.611780450446597,Graphite oxide/Poly(alpha-methylstyrene)
18.085917728255563,20.424335477954475,Graphite oxide/Poly(alpha-methylstyrene)
