Ion Beam Dose (Gy),Thermal Conductivity (W/(m·K))
0.23000362781039563,-3.7935887897189113,PAM
1.3431409851218157,-4.0478054902806555,PAM
4.926618721809895,-4.329865299195564,PAM
5.505004659378441,-4.341897502801475,PAM
8.923798164467344,-4.479205371038914,PAM
10.096874864169932,-4.48989713624778,PAM
16.13581199769736,-4.535184921715824,PAM
0.23000362781039563,-0.8303705624520326,PMMA
1.3431409851218157,-1.3241050699800794,PMMA
4.926618721809895,-1.6840304117263987,PMMA
5.505004659378441,-1.7518291085421545,PMMA
8.923798164467344,-1.8501016550653937,PMMA
10.096874864169932,-1.872371327088529,PMMA
16.13581199769736,-1.9143804968040985,PMMA
